Drain_Label,Drain_ID,Drain_Type,Rainfall_mm_hr,Month,Degradation_Factor_x,Design_Capacity_m3hr,Catchment_km2,Impervious_frac,Runoff_coeff,Slope,Pipe_ID,Node_ID,latitude,longitude
D-001,1,3,2,1,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,3,2,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,4,3,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,5,4,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,6,5,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,5,6,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,3,7,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,3,8,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,5,9,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,8,10,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,10,11,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-001,1,3,8,12,0.751283038,1141.940552,2.185430535,0.331009033,0.467574025,0.100950531,P-001,1251895,47.6099653,-122.3372382
D-002,2,1,2,1,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,3,2,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,4,3,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,5,4,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
D-002,2,1,6,5,0.699331514,1751.260821,4.778214379,0.618812779,0.511436136,0.095083151,P-001,1253135,47.60974304,-122.3377612
